# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	p_solver        	p_initial       	p_final         	p_iters         	p_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 
5031            	DILUPBiCGStab	4.38025340e-05	2.09713840e-07	1	7.43696790e-04	3.73228660e-06	1	false	DILUPBiCGStab	1.26850340e-04	1.72095110e-06	1	true	GAMG	2.60783970e-03	2.58340810e-05	12	true	DILUPBiCGStab	2.16213840e-06	4.72770160e-11	1	true
5032            	DILUPBiCGStab	4.40980160e-05	2.23466480e-07	1	6.26058670e-04	3.23460310e-06	1	false	DILUPBiCGStab	1.27007540e-04	1.72315280e-06	1	true	GAMG	2.78844250e-03	2.54505970e-05	8	true	DILUPBiCGStab	2.16181760e-06	4.72924180e-11	1	true
5033            	DILUPBiCGStab	4.42311690e-05	2.22197970e-07	1	6.95954570e-04	3.61239950e-06	1	false	DILUPBiCGStab	1.26914720e-04	1.72198670e-06	1	true	GAMG	3.01627780e-03	2.46569530e-05	6	true	DILUPBiCGStab	2.16116530e-06	4.73167590e-11	1	true
5034            	DILUPBiCGStab	4.34725050e-05	2.18332110e-07	1	6.88649960e-04	3.11507990e-06	1	false	DILUPBiCGStab	1.26993140e-04	1.72311330e-06	1	true	GAMG	2.40420390e-03	1.66063820e-05	9	true	DILUPBiCGStab	2.16129690e-06	4.73003730e-11	1	true
5035            	DILUPBiCGStab	4.30944960e-05	2.00630590e-07	1	6.29018910e-04	3.12757240e-06	1	false	DILUPBiCGStab	1.27189430e-04	1.72580710e-06	1	true	GAMG	2.44486310e-03	1.30489550e-05	9	true	DILUPBiCGStab	2.16194970e-06	4.73138980e-11	1	true
5036            	DILUPBiCGStab	4.41799690e-05	2.28293430e-07	1	7.02558840e-04	3.97481910e-06	1	false	DILUPBiCGStab	1.26737970e-04	1.71971380e-06	1	true	GAMG	3.01481920e-03	1.63410950e-05	8	true	DILUPBiCGStab	2.16161460e-06	4.72983360e-11	1	true
5037            	DILUPBiCGStab	4.33555810e-05	2.04652610e-07	1	7.33355140e-04	4.19302760e-06	1	false	DILUPBiCGStab	1.26911680e-04	1.72209480e-06	1	true	GAMG	2.17557490e-03	2.00363610e-05	8	true	DILUPBiCGStab	2.16228860e-06	4.72768860e-11	1	true
5038            	DILUPBiCGStab	4.31533660e-05	2.02057870e-07	1	7.23102500e-04	3.94452940e-06	1	false	DILUPBiCGStab	1.26936950e-04	1.72242540e-06	1	true	GAMG	2.24036250e-03	1.32173310e-05	9	true	DILUPBiCGStab	2.16279570e-06	4.73114030e-11	1	true
5039            	DILUPBiCGStab	4.30174460e-05	2.04984160e-07	1	7.04238410e-04	4.85462260e-06	1	false	DILUPBiCGStab	1.26768080e-04	1.72014560e-06	1	true	GAMG	2.04414040e-03	1.61486220e-05	9	true	DILUPBiCGStab	2.16290780e-06	4.73069130e-11	1	true
5040            	DILUPBiCGStab	4.32453160e-05	2.03541250e-07	1	6.42354560e-04	3.94580290e-06	1	false	DILUPBiCGStab	1.27092760e-04	1.72452820e-06	1	true	GAMG	1.75752880e-03	1.53997010e-05	8	true	DILUPBiCGStab	2.16384060e-06	4.73341650e-11	1	true
5041            	DILUPBiCGStab	4.56961300e-05	2.56797560e-07	1	8.72549720e-04	4.56673710e-06	1	false	DILUPBiCGStab	1.26942170e-04	1.72248690e-06	1	true	GAMG	2.62734830e-03	2.10176940e-05	9	true	DILUPBiCGStab	2.16393830e-06	4.73339750e-11	1	true
5042            	DILUPBiCGStab	4.35700460e-05	2.07571320e-07	1	6.43745630e-04	3.50275350e-06	1	false	DILUPBiCGStab	1.27093820e-04	1.72455040e-06	1	true	GAMG	1.92970070e-03	1.85096140e-05	7	true	DILUPBiCGStab	2.16444720e-06	4.73382530e-11	1	true
5043            	DILUPBiCGStab	4.35061310e-05	2.12567940e-07	1	5.61315680e-04	3.15394180e-06	1	false	DILUPBiCGStab	1.27014410e-04	1.72348920e-06	1	true	GAMG	2.32193200e-03	1.99725550e-05	9	true	DILUPBiCGStab	2.16454090e-06	4.73405870e-11	1	true
5044            	DILUPBiCGStab	4.34452660e-05	2.02002490e-07	1	5.38024010e-04	2.96590000e-06	1	false	DILUPBiCGStab	1.27159600e-04	1.72545670e-06	1	true	GAMG	2.01885140e-03	1.96004800e-05	8	true	DILUPBiCGStab	2.16493120e-06	4.73438300e-11	1	true
5045            	DILUPBiCGStab	4.46524260e-05	2.21699960e-07	1	6.66752720e-04	3.64490090e-06	1	false	DILUPBiCGStab	1.26966950e-04	1.72287610e-06	1	true	GAMG	2.41467630e-03	1.61541590e-05	7	true	DILUPBiCGStab	2.16479140e-06	4.73412400e-11	1	true
5046            	DILUPBiCGStab	4.54312890e-05	2.60245140e-07	1	8.04920370e-04	4.37088660e-06	1	false	DILUPBiCGStab	1.26917820e-04	1.72230370e-06	1	true	GAMG	2.56403910e-03	1.62803640e-05	9	true	DILUPBiCGStab	2.16489920e-06	4.73452830e-11	1	true
5047            	DILUPBiCGStab	4.55730430e-05	2.81964180e-07	1	7.73321360e-04	4.64097340e-06	1	false	DILUPBiCGStab	1.26803500e-04	1.72089440e-06	1	true	GAMG	3.00084210e-03	1.63261090e-05	9	true	DILUPBiCGStab	2.16488290e-06	4.73555310e-11	1	true
5048            	DILUPBiCGStab	4.33436060e-05	2.07058580e-07	1	6.47647560e-04	4.59885800e-06	1	false	DILUPBiCGStab	1.26952390e-04	1.72309020e-06	1	true	GAMG	1.73936030e-03	1.22400960e-05	9	true	DILUPBiCGStab	2.16516020e-06	4.73636670e-11	1	true
5049            	DILUPBiCGStab	4.30816220e-05	2.00743640e-07	1	5.90865410e-04	3.41735430e-06	1	false	DILUPBiCGStab	1.26759530e-04	1.72068520e-06	1	true	GAMG	1.87676390e-03	1.39626250e-05	10	true	DILUPBiCGStab	2.16490320e-06	4.73552680e-11	1	true
5050            	DILUPBiCGStab	4.28575520e-05	2.01540830e-07	1	5.42141070e-04	3.21435760e-06	1	false	DILUPBiCGStab	1.26681640e-04	1.71985520e-06	1	true	GAMG	1.86896970e-03	1.30474230e-05	9	true	DILUPBiCGStab	2.16484580e-06	4.73498740e-11	1	true
5051            	DILUPBiCGStab	4.28307790e-05	2.01786260e-07	1	5.50846330e-04	3.13496730e-06	1	false	DILUPBiCGStab	1.26717350e-04	1.72060850e-06	1	true	GAMG	1.81931920e-03	1.39260890e-05	7	true	DILUPBiCGStab	2.16502190e-06	4.73520350e-11	1	true
5052            	DILUPBiCGStab	4.28427600e-05	2.03039400e-07	1	5.96178530e-04	3.17146310e-06	1	false	DILUPBiCGStab	1.26711390e-04	1.72078720e-06	1	true	GAMG	1.59183810e-03	1.47331530e-05	7	true	DILUPBiCGStab	2.16516040e-06	4.73406930e-11	1	true
5053            	DILUPBiCGStab	4.28025630e-05	2.03131120e-07	1	5.99274030e-04	3.25118680e-06	1	false	DILUPBiCGStab	1.26596530e-04	1.71943760e-06	1	true	GAMG	1.48737330e-03	1.13466050e-05	13	true	DILUPBiCGStab	2.16534050e-06	4.73420340e-11	1	true
5054            	DILUPBiCGStab	4.28979010e-05	2.04917250e-07	1	5.60908050e-04	3.92558860e-06	1	false	DILUPBiCGStab	1.26567150e-04	1.71925680e-06	1	true	GAMG	1.47322450e-03	1.31343040e-05	12	true	DILUPBiCGStab	2.16558090e-06	4.73346570e-11	1	true
5055            	DILUPBiCGStab	4.31898630e-05	2.08806030e-07	1	4.87884710e-04	3.02916730e-06	1	false	DILUPBiCGStab	1.26681910e-04	1.72099140e-06	1	true	GAMG	1.64833610e-03	1.23679410e-05	9	true	DILUPBiCGStab	2.16613350e-06	4.73323430e-11	1	true
5056            	DILUPBiCGStab	4.33574740e-05	2.05891060e-07	1	5.04262820e-04	3.24429510e-06	1	false	DILUPBiCGStab	1.26604900e-04	1.72013680e-06	1	true	GAMG	1.52191000e-03	9.98304500e-06	9	true	DILUPBiCGStab	2.16640010e-06	4.73396500e-11	1	true
5057            	DILUPBiCGStab	4.54403500e-05	2.35936300e-07	1	6.70966720e-04	3.54817470e-06	1	false	DILUPBiCGStab	1.26427420e-04	1.71794490e-06	1	true	GAMG	2.24724940e-03	1.53573010e-05	9	true	DILUPBiCGStab	2.16644410e-06	4.73395290e-11	1	true
5058            	DILUPBiCGStab	4.36675540e-05	2.08081040e-07	1	5.57471550e-04	2.79340960e-06	1	false	DILUPBiCGStab	1.26641440e-04	1.72112590e-06	1	true	GAMG	1.52849730e-03	1.44541630e-05	9	true	DILUPBiCGStab	2.16700920e-06	4.73499810e-11	1	true
5059            	DILUPBiCGStab	4.35939270e-05	2.06598860e-07	1	5.15067060e-04	2.71261550e-06	1	false	DILUPBiCGStab	1.26592530e-04	1.72078660e-06	1	true	GAMG	2.11836350e-03	1.51264210e-05	9	true	DILUPBiCGStab	2.16705360e-06	4.73585810e-11	1	true
5060            	DILUPBiCGStab	4.34759380e-05	2.04249590e-07	1	4.62464170e-04	2.55747520e-06	1	false	DILUPBiCGStab	1.26557130e-04	1.72067810e-06	1	true	GAMG	2.04467670e-03	1.76266130e-05	9	true	DILUPBiCGStab	2.16702670e-06	4.73710160e-11	1	true
5061            	DILUPBiCGStab	4.33712410e-05	2.04654860e-07	1	4.65302310e-04	2.55270180e-06	1	false	DILUPBiCGStab	1.26565640e-04	1.72120510e-06	1	true	GAMG	1.71790720e-03	1.57291560e-05	7	true	DILUPBiCGStab	2.16701920e-06	4.73749440e-11	1	true
5062            	DILUPBiCGStab	4.31062630e-05	2.01523760e-07	1	4.96900560e-04	2.70511910e-06	1	false	DILUPBiCGStab	1.26450850e-04	1.72010150e-06	1	true	GAMG	1.43008670e-03	1.10917590e-05	8	true	DILUPBiCGStab	2.16683300e-06	4.73718000e-11	1	true
5063            	DILUPBiCGStab	4.30153280e-05	2.00483370e-07	1	5.39912520e-04	3.91898950e-06	1	false	DILUPBiCGStab	1.26283270e-04	1.71832250e-06	1	true	GAMG	1.38424600e-03	1.15283440e-05	7	true	DILUPBiCGStab	2.16653920e-06	4.73737950e-11	1	true
5064            	DILUPBiCGStab	4.29845290e-05	2.01944070e-07	1	5.69999200e-04	4.77323310e-06	1	false	DILUPBiCGStab	1.26117220e-04	1.71656880e-06	1	true	GAMG	1.53515150e-03	1.31145050e-05	7	true	DILUPBiCGStab	2.16622820e-06	4.73810440e-11	1	true
5065            	DILUPBiCGStab	4.48618100e-05	2.62003010e-07	1	8.28698000e-04	5.37518810e-06	1	false	DILUPBiCGStab	1.25568220e-04	1.70948570e-06	1	true	GAMG	2.43551990e-03	2.39145750e-05	9	true	DILUPBiCGStab	2.16536670e-06	4.73772450e-11	1	true
5066            	DILUPBiCGStab	4.33384340e-05	2.07220170e-07	1	7.29675990e-04	4.58840360e-06	1	false	DILUPBiCGStab	1.25887300e-04	1.71417860e-06	1	true	GAMG	1.29097200e-03	1.22894470e-05	7	true	DILUPBiCGStab	2.16583400e-06	4.74067650e-11	1	true
5067            	DILUPBiCGStab	4.52766660e-05	2.58282210e-07	1	8.83078430e-04	4.58581510e-06	1	false	DILUPBiCGStab	1.25621390e-04	1.71085430e-06	1	true	GAMG	2.42447880e-03	2.07206680e-05	7	true	DILUPBiCGStab	2.16532830e-06	4.74142300e-11	1	true
